Time [sec], Input Angle [rad], Input Speed [rpm], Input Voltage [V], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
2.15202, 0, 0, 2.15202, 0.144656, 1, 0, 
2.16199, 0, 0, 2.16199, 0.144656, 1, 0, 
2.17196, 0, 0, 2.17196, 0.148318, 1, 0, 
2.18193, 0, 0, 2.18193, 0.143435, 1, 0, 
2.19191, 0, 0, 2.19191, 0.149538, 1, 0, 
2.20188, 0, 0, 2.20188, 0.144656, 1, 0, 
2.21185, 0, 0, 2.21185, 0.144656, 1, 0, 
2.22182, 0, 0, 2.22182, 0.148318, 1, 0, 
2.2318, 0, 0, 2.2318, 0.149538, 1, 0, 
2.24177, 0, 0, 2.24177, 0.15198, 1, 0, 
2.25174, 0, 0, 2.25174, 0.149538, 1, 0, 
2.26171, 0, 0, 2.26171, 0.145876, 1, 0, 
2.27168, 0, 0, 2.27168, 0.144656, 1, 0, 
2.28166, 0, 0, 2.28166, 0.149538, 1, 0, 
2.29163, 0, 0, 2.29163, 0.144656, 1, 0, 
2.3016, 0, 0, 2.3016, 0.148318, 1, 0, 
2.31157, 0, 0, 2.31157, 0.15198, 1, 0, 
2.32155, 0, 0, 2.32155, 0.153201, 1, 0, 
2.33152, 0, 0, 2.33152, 0.150759, 1, 0, 
2.34149, 0, 0, 2.34149, 0.148318, 1, 0, 
2.35146, 0, 0, 2.35146, 0.148318, 1, 0, 
2.36144, 0, 0, 2.36144, 0.150759, 1, 0, 
2.37141, 0, 0, 2.37141, 0.149538, 1, 0, 
2.38138, 0, 0, 2.38138, 0.149538, 1, 0, 
2.39135, 0, 0, 2.39135, 0.150759, 1, 0, 
2.40132, 0, 0, 2.40132, 0.150759, 1, 0, 
2.4113, 0, 0, 2.4113, 0.15198, 1, 0, 
2.42127, 0, 0, 2.42127, 0.15198, 1, 0, 
2.43124, 0, 0, 2.43124, 0.15198, 1, 0, 
2.44121, 0, 0, 2.44121, 0.149538, 1, 0, 
2.45119, 0, 0, 2.45119, 0.153201, 1, 0, 
2.46116, 0, 0, 2.46116, 0.150759, 1, 0, 
2.47113, 0, 0, 2.47113, 0.150759, 1, 0, 
2.4811, 0, 0, 2.4811, 0.153201, 1, 0, 
2.49107, 0, 0, 2.49107, 0.153201, 1, 0, 
2.50105, 0, 0, 2.50105, 0.155642, 1, 0, 
2.51102, 0, 0, 2.51102, 0.161746, 1, 0, 
2.52099, 0, 0, 2.52099, 0.154421, 1, 0, 
2.53096, 0, 0, 2.53096, 0.158083, 1, 0, 
2.54094, 0, 0, 2.54094, 0.158083, 1, 0, 
2.55091, 0, 0, 2.55091, 0.155642, 1, 0, 
2.56088, 0, 0, 2.56088, 0.15198, 1, 0, 
2.57085, 0, 0, 2.57085, 0.158083, 1, 0, 
2.58083, 0, 0, 2.58083, 0.156863, 1, 0, 
2.5908, 0, 0, 2.5908, 0.158083, 1, 0, 
2.60077, 0, 0, 2.60077, 0.159304, 1, 0, 
2.61074, 0, 0, 2.61074, 0.156863, 1, 0, 
2.62071, 0, 0, 2.62071, 0.162966, 1, 0, 
2.63069, 0, 0, 2.63069, 0.161746, 1, 0, 
2.64066, 0, 0, 2.64066, 0.162966, 1, 0, 
2.65063, 0, 0, 2.65063, 0.161746, 1, 0, 
2.6606, 0, 0, 2.6606, 0.158083, 1, 0, 
2.67058, 0, 0, 2.67058, 0.161746, 1, 0, 
2.68055, 0, 0, 2.68055, 0.161746, 1, 0, 
2.69052, 0, 0, 2.69052, 0.156863, 1, 0, 
2.70049, 0, 0, 2.70049, 0.164187, 1, 0, 
2.71046, 0, 0, 2.71046, 0.160525, 1, 0, 
2.72044, 0, 0, 2.72044, 0.158083, 1, 0, 
2.73041, 0, 0, 2.73041, 0.161746, 1, 0, 
2.74038, 0, 0, 2.74038, 0.162966, 1, 0, 
2.75035, 0, 0, 2.75035, 0.162966, 1, 0, 
2.76033, 0, 0, 2.76033, 0.160525, 1, 0, 
2.7703, 0, 0, 2.7703, 0.162966, 1, 0, 
2.78027, 0, 0, 2.78027, 0.166629, 1, 0, 
2.79024, 0, 0, 2.79024, 0.162966, 1, 0, 
2.80022, 0, 0, 2.80022, 0.161746, 1, 0, 
2.81019, 0, 0, 2.81019, 0.164187, 1, 0, 
2.82016, 0, 0, 2.82016, 0.161746, 1, 0, 
2.83013, 0, 0, 2.83013, 0.160525, 1, 0, 
2.8401, 0, 0, 2.8401, 0.160525, 1, 0, 
2.85008, 0, 0, 2.85008, 0.165408, 1, 0, 
2.86005, 0, 0, 2.86005, 0.165408, 1, 0, 
